[4.229s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.0ms
[4.229s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 14.9ms
[4.229s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.4ms
[4.229s][info][gc,phases   ] GC(4)   Other: 0.1ms
[4.229s][info][gc,heap     ] GC(4) Eden regions: 49->0(49)
[4.229s][info][gc,heap     ] GC(4) Survivor regions: 8->8(8)
[4.229s][info][gc,heap     ] GC(4) Old regions: 32->42
[4.229s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[4.229s][info][gc,metaspace] GC(4) Metaspace: 7733K(8064K)->7733K(8064K) NonClass: 6921K(7104K)->6921K(7104K) Class: 812K(960K)->812K(960K)
[4.229s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 706M->392M(9216M) 15.732ms
[4.229s][info][gc,cpu      ] GC(4) User=0.03s Sys=0.03s Real=0.02s
[4.376s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[4.376s][info][gc,task     ] GC(5) Using 13 workers of 13 for evacuation
[4.395s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[4.395s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[4.395s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 17.8ms
[4.395s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[4.395s][info][gc,phases   ] GC(5)   Other: 0.0ms
[4.395s][info][gc,heap     ] GC(5) Eden regions: 49->0(49)
[4.395s][info][gc,heap     ] GC(5) Survivor regions: 8->8(8)
[4.395s][info][gc,heap     ] GC(5) Old regions: 42->51
[4.395s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[4.395s][info][gc,metaspace] GC(5) Metaspace: 7733K(8064K)->7733K(8064K) NonClass: 6921K(7104K)->6921K(7104K) Class: 812K(960K)->812K(960K)
[4.395s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 784M->470M(9216M) 18.549ms
[4.395s][info][gc,cpu      ] GC(5) User=0.03s Sys=0.02s Real=0.02s
[4.547s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[4.547s][info][gc,task     ] GC(6) Using 13 workers of 13 for evacuation
[4.564s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[4.564s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[4.564s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 16.4ms
[4.564s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.6ms
[4.564s][info][gc,phases   ] GC(6)   Other: 0.0ms
[4.564s][info][gc,heap     ] GC(6) Eden regions: 49->0(49)
[4.564s][info][gc,heap     ] GC(6) Survivor regions: 8->8(8)
[4.564s][info][gc,heap     ] GC(6) Old regions: 51->61
[4.564s][info][gc,heap     ] GC(6) Humongous regions: 0->0
[4.564s][info][gc,metaspace] GC(6) Metaspace: 7733K(8064K)->7733K(8064K) NonClass: 6921K(7104K)->6921K(7104K) Class: 812K(960K)->812K(960K)
[4.564s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 862M->548M(9216M) 17.473ms
